Index,Year,Month,pipeline_unit,affordable_u,pipeline_total_dev_cost,projects,pipeline_sqft,res_SF,renno_sf,comm_sf,retail_sf,ind_sf,instit_sf,other_sf,const_job,indirect_job,direct_job,res_tax,comm_tax,income_tax,foreclosure_pet,foreclosure_deeds,med_housing_price,housing_sales_vol,new_housing_const_permits,new-affordable_housing_permits,,,
1/15/2015,2015,1,34,6,55100000,4,312139,42410,0,0,0,154376,110000,5353,125,67,4,62445,970654,480844,28,10,475000,369,734,232,,pipeline_unit,Pipeline Units
2/15/2015,2015,2,478,134,268558889,7,811970,536928,198080,65875,11087,0,0,0,455,243,257,1366814,479842,2966293,48,12,465000,333,144,48,,affordable_u,Affordable Units?
3/15/2015,2015,3,139,17,131350000,5,368982,36275,280238,34979,0,0,0,17490,489,261,39,61538,0,1877004,40,6,465000,448,309,64,,pipeline_total_dev_cost,Total Development Cost
4/15/2015,2015,4,710,59,611150000,10,1333555,385970,313900,404600,18100,0,0,210985,1237,659,1194,687444,1562547,3764280,44,4,480000,512,87,7,,projects,Projects
5/15/2015,2015,5,134,13,346800000,5,602845,169845,0,425000,8000,0,0,0,457,244,1225,288129,48615,565268,23,9,517750,670,897,100,,pipeline_sqft,Square Feet
6/15/2015,2015,6,45,12,95916000,4,151220,22316,57904,8000,8000,0,48800,6200,261,139,71,37857,0,946170,41,11,503500,0,469,0,,res_SF,
7/15/2015,2015,7,696,96,515609497,6,1534009,826413,0,284600,70250,0,0,190696,999,533,969,1401945,4299974,3838006,44,12,510000,0,270,4,,renno_sf,
8/15/2015,2015,8,507,137,574290044,13,1129732,606762,40535,0,21855,0,0,117580,818,436,248,925410,1673299,3104245,36,6,0,0,266,54,,comm_sf,
9/15/2015,2015,9,128,36,47000000,3,150777,144617,0,0,6160,0,0,0,112,60,9,245849,37453,429946,63,15,0,0,561,35,,retail_sf,
10/15/2015,2015,10,336,93,186250000,7,522335,382559,30000,19496,6780,0,0,83500,445,237,115,446350,667438,1364032,56,17,0,0,460,50,,ind_sf,
11/15/2015,2015,11,31,2,374700000,4,830290,38595,157000,618000,16695,0,0,0,551,294,1789,65612,3858946,2116403,34,12,0,0,0,0,,instit_sf,
12/15/2015,2015,12,115,95,244100000,7,380257,132280,115535,1006,0,0,130320,1116,377,201,167,224876,12902,1446869,69,10,0,0,0,0,,other_sf,
1/15/2016,2016,1,582,74,732500000,9,2051184,673659,0,1057200,16000,0,267000,0,1653,881,3053,1145220,6751992,6347913,0,0,0,0,0,0,,const_job,Construction Jobs
2/15/2016,2016,2,816,36,722100000,11,1260337,920501,203000,51700,48136,0,0,37000,1530,816,219,2475882,810683,7905568,0,0,0,0,0,0,,indirect_job,Indirect Jobs
3/15/2016,2016,3,568,76,252500000,6,619846,579161,0,0,25935,0,14750,0,523,279,59,1014749,157685,2056312,0,0,0,0,0,0,,direct_job,Direct jobs
4/15/2016,2016,4,691,122,1324195714,11,1259206,221112,429000,1000,4944,0,603150,0,1646,878,800,490980,111690,6545703,0,0,0,0,0,0,,res_tax,Resedential Tax?
5/15/2016,2016,5,1874,254,1213268429,12,2816183,2019954,35837,0,352680,0,0,319712,2085,1112,554,1926022,3731174,4492719,0,0,0,0,0,0,,comm_tax,Commercial Tax?
6/15/2016,2016,6,105,82,250000000,5,562420,123282,0,173000,32000,0,0,114138,376,200,618,209579,2669959,1443621,0,0,0,0,0,0,,income_tax,Income tax?
7/15/2016,2016,7,462,37,594000000,6,1049400,508749,0,0,3500,0,532000,5151,867,462,13,864873,34358,3330785,0,0,0,0,0,0,,foreclosure_pet,
8/15/2016,2016,8,1397,538,943450000,8,1931147,1615237,0,0,117760,0,9850,188300,1405,749,190,2776078,1860845,5443378,0,0,0,0,0,0,,foreclosure_deeds,
9/15/2016,2016,9,313,41,211000000,7,552588,332532,0,216361,8050,0,3000,-7355,413,220,548,565304,1171956,1585660,0,0,0,0,0,0,,med_housing_price,Median Housing Price?
10/15/2016,2016,10,115,20,75400000,7,200164,193651,0,0,6513,0,0,0,158,84,10,329207,39599,607408,0,0,0,0,0,0,,housing_sales_vol,Housing Sales Volume?
11/15/2016,2016,11,595,134,515551216,14,1389364,460200,160393,381270,43884,0,14315,37802,1014,540,959,782340,4587092,3892673,0,0,0,0,0,0,,new_housing_const_permits,New Housing construction permits?
12/15/2016,2016,12,350,247,1033046069,8,1046956,305841,124720,67855,15630,0,0,317941,898,479,217,519930,3747682,3447651,0,0,0,0,0,0,,new-affordable_housing_permits,New affordable housing permits?
01/15/2017,2017,1,250,50,101000000,2,279052,273552,0,0,5500,0,0,0,209,111,8,-1612,0,-2737,0,0,0,0,0,0,,,
02/15/2017,2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
03/15/2017,2017,3,1804,281,1125200000,13,2725017,1134657,700000,108000,428315,0,210700,107332,3297,1758,1083,1928917,4132333,12663004,0,0,0,0,0,0,,,
